"대여일자","평일/주말","평균온도","풍속","풍향","강수량","이용건수"
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,6
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,7
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,8
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,6
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,7
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,6
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,7
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,8
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,6
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,8
2022-02-12,1,4.8,1.7,270,0,7
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,7
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,8
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,6
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,8
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,6
2022-02-12,1,4.8,1.7,270,0,9
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,8
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,4
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,8
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,6
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,5
2022-02-12,1,4.8,1.7,270,0,7
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,3
2022-02-12,1,4.8,1.7,270,0,1
2022-02-12,1,4.8,1.7,270,0,2
2022-02-12,1,4.8,1.7,270,0,1
